ZGHP_PARA_AFFECTOT                                                                                           27.08.2026 /
11:02:43
* SERVICE         :  PARA
* POSTE DE TRAVAIL:  %%%%%%%%
* O.T.            :  %%%%%%%%
* PERIODE de       :  20220101   a   20260827                                                                     PAGE :
    1
------------------------------------------------------------------------------------------------------------------------------
         D A T E     T  POSTE TR  LIBELLE POSTE TRAV.                        AFFECT      HEURES              TRANSF
         --------    -  --------  -------------------                        ------      ------              ------
    ** OT:  00005188F576 = REDRESSAGE DES POUTRELLES
         20220216    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220216    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           8,0          X
         20220216    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220216    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           3,5          X
         20220217    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,5          X
         20220218    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           4,0          X
         20220221    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,5          X
         20220223    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220224    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220225    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           4,0          X
         20220225    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100          16,0          X
         20220301    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220302    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           4,0          X
         20220302    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           5,0          X
         20220303    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220303    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           5,0          X
         20220303    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220303    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           4,0          X
         20220304    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220304    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220307    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220307    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220307    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220308    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220308    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           8,0          X
         20220308    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220308    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           6,0          X
         20220311    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220314    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           4,0          X
         20220315    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220316    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           3,0          X
         20220317    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           3,0          X
         20220318    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           5,0          X
         20220321    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           6,0          X
         20220321    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           3,0          X
         20220321    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220321    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           0,0          X
         20220322    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220323    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220323    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220325    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           5,0          X
         20220325    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220401    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220401    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           0,0          X
         20220401    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           4,0          X
         20220401    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
